NAME,KEY,CAMELOT,BPM
“I Can Afford College” Music VideoAdvertisement 15.mp3,F minor,4A,115
(High Quality) Famous Daisy Attack Ad from 1964 Presidential Election.mp3,A# minor,3A,124
“How Rock ‘N’ Roll Works” Indeed.mp3,E major,12B,91
[Lee Min Ho] Binggrae Banana Milk CF v1[30s]flv.mp3,G# major,4B,135
[Blade Sword of Elysion] Cinematic Trailer for Google Play.mp3,A major,11B,108
[PRIVATE] Dale Earnhardt Jr Call Diet Mountain Dew Commercial.mp3,D minor,7A,120
【Luxy Poker Texas Holdem】Sexy Dealer video ads 15s.mp3,A major,11B,129
《Super Evolution》Fighting Form of Pokemons Debuts!.mp3,G major,9B,102
【轟！Expedia X 旅遊達　30秒全新電視廣告】.mp3,C major,8B,162
[Commercial] Mario & Sonic at the London 2012 Olympic Games (3DS) 1.mp3,A major,11B,107
♥ Orlando Bloom UNO cosmetic.mp3,A minor,8A,123
🏃💨 Subway Surfers - Official Launch Trailer.mp3,A# major,6B,120
2 Million Seniors Voting to Protect Medicare Advantage.mp3,F major,7B,124
1-800-GOT-JUNK - Just point and junk disappears!.mp3,D# major,5B,111
2NE1 Microsoft Commercial Ad 2014-2015-2016 - Korean Group - I AM THE BEST (내가 제일 잘 나가) song.mp3,C minor,5A,128
3 Day Blinds Custom Window Treatments.mp3,C major,8B,97
1 McDonalds BF&GF - India ad[HD].mp3,D# minor,2A,133
2 Times Table Math Song Count up by 2s!.mp3,G major,9B,92
4 Wheel Parts Joins Mike Rooftop Escamilla for a Day in the Life Punishing His BF Goodrich Tires.mp3,E minor,9A,140
5 Gum – Kiss.mp3,A major,11B,130
5 Gum – Tattoo.mp3,A minor,8A,132
3 Ways You Should Be Eating Flamin Hot Cheetos.mp3,G major,9B,113
7UP Nimbooz Masala Soda Anushka Sharma TVC 2015.mp3,C# major,3B,129
5 Unconventional Beauties Taking the Modeling World by Storm W Magazine.mp3,A# major,6B,129
10 Cloverfield Lane - Walking Dead Ad (2016) - Paramount Pictures.mp3,A minor,8A,111
9 Fast Food Facts You Wont Believe Are Actually True.mp3,F# major,2B,70
5 Gum – Skinny Dip.mp3,A minor,8A,131
14 Months.mp3,F major,7B,107
18 CARLTON DRAUGHT Beer Chase.mp3,A minor,8A,133
027 Guinness share with friends - funny beer commercial ad from Beer Planetmp4.mp3,F major,7B,120
030 Clear Skin Routine with Blemish Remedy.mp3,F major,7B,104
50 Cent - Vitamin Water - Welcome Dwight Howard Commercial 50 Cent Music.mp3,C# minor,12A,129
60 Days In Official Teaser - One Terrifying Experiment - 2 Hour Premiere March 10 98c A&E.mp3,A major,11B,124
70s Mother Nature Chiffon Margarine Commercial.mp3,A# minor,3A,120
60 Seconds in the Red Chair Bryan Ransom.mp3,G# minor,1A,107
80s Anti-Drug Commercial - Your Brain On Drugs.mp3,C# major,3B,162
10 Cloverfield Lane Super Bowl Ad (2016) - Paramount Pictures.mp3,A# major,6B,152
116 Innovators (30) The Toyota Effect Toyota.mp3,E minor,9A,123
1950s Kool Aid Commercial.mp3,D# major,5B,99
1960s Burgerking Commercial.mp3,F# major,2B,107
80s Anti-Drug Commercial - When I Grow Up.mp3,A major,11B,114
1969 Alka Seltzer Spicy Meatball Commercial.mp3,D# minor,2A,123
360 How Far Australia Expedia.mp3,C# minor,12A,136
1970 Chevrolet Camaro.mp3,A# major,6B,144
1978ish Dr Pepper Commercial - Be a Pepper.mp3,B major,1B,154
1980s Motorola DynaTAC Promotional Video.mp3,A# minor,3A,129
1980s Nabisco Oreo Christmas Commercial.mp3,C major,8B,123
1980s Operation Board Game Commercial.mp3,D# minor,2A,104
1969 Dodge Charger Television Commercial.mp3,G# major,4B,149
1980s Pantene Commercial Dont Hate Me.mp3,F major,7B,123
1982 Litwaks Arcade Commercial featuring the original Fix-It Felix Jr Game.mp3,A minor,8A,84
1987 Barbie Hawaiian Ice Party Commercial.mp3,F major,7B,137
1989 - Centel - first cell phone ad!.mp3,G major,9B,130
1993 Coca-Cola Polar Bear Commercial.mp3,F major,7B,96
1998 YooHoo Chocolate Drink Commercial.mp3,F major,7B,112
2006 - Geico commercial - Caveman at the airport.mp3,F major,7B,123
2004 The scream that doomed Howard Dean.mp3,B minor,10A,91
2008 Chevy Malibu Bank Robbery Ad.mp3,F# minor,11A,172
2010 New Era Authentic Collection Commercial New Era Cap.mp3,F minor,4A,88
2014 Chevy Commercial - Maddie.mp3,A major,11B,92
2012 Toyota Hilux Australia Unbreakable.mp3,D# major,5B,162
2014 Oklahoma Tourism Commercial (30 Seconds).mp3,G major,9B,155
2014 Jamie Casino - 2 Minute Super Bowl Commercial - Casinos Law.mp3,D minor,7A,130
2014 Oklahoma Tourism Commercial (60 Seconds).mp3,G major,9B,163
2015 Commercial - RealStrength Ad Dove Men+Care.mp3,F minor,4A,115
2015 Oklahoma Tourism Commercial 2 (30 spot).mp3,F major,7B,146
2016 Dodge Journey Lease For 129month.mp3,A major,11B,172
2016 Kansas City Auto Show AutoFest Teaser.mp3,A minor,8A,97
2016 Honda Accord & Civic Specials at Brandon Honda.mp3,A major,11B,91
2015 MAMA STAR COUNTDOWN D-30 by BTS 151202 EP1.mp3,A# major,6B,178
2016 Victoria’s Secret Swim Special TV Commercial (15).mp3,F major,7B,128
624787.mp3,E major,12B,129
“I Can Afford College” Music VideoAdvertisement 15.mp3,F minor,4A,115
“How Rock ‘N’ Roll Works” Indeed.mp3,E major,12B,91
(High Quality) Famous Daisy Attack Ad from 1964 Presidential Election.mp3,A# minor,3A,124
[Commercial] Mario & Sonic at the London 2012 Olympic Games (3DS) 1.mp3,A major,11B,107
[Lee Min Ho] Binggrae Banana Milk CF v1[30s]flv.mp3,G# major,4B,135
[PRIVATE] Dale Earnhardt Jr Call Diet Mountain Dew Commercial.mp3,D minor,7A,120
《Super Evolution》Fighting Form of Pokemons Debuts!.mp3,G major,9B,102
[Blade Sword of Elysion] Cinematic Trailer for Google Play.mp3,A major,11B,108
【轟！Expedia X 旅遊達　30秒全新電視廣告】.mp3,C major,8B,162
🏃💨 Subway Surfers - Official Launch Trailer.mp3,A# major,6B,120
1 McDonalds BF&GF - India ad[HD].mp3,D# minor,2A,133
♥ Orlando Bloom UNO cosmetic.mp3,A minor,8A,123
1-800-GOT-JUNK - Just point and junk disappears!.mp3,D# major,5B,111
2 Million Seniors Voting to Protect Medicare Advantage.mp3,F major,7B,124
2NE1 Microsoft Commercial Ad 2014-2015-2016 - Korean Group - I AM THE BEST (내가 제일 잘 나가) song.mp3,C minor,5A,128
【Luxy Poker Texas Holdem】Sexy Dealer video ads 15s.mp3,A major,11B,129
2 Times Table Math Song Count up by 2s!.mp3,G major,9B,92
3 Day Blinds Custom Window Treatments.mp3,C major,8B,97
4 Wheel Parts Joins Mike Rooftop Escamilla for a Day in the Life Punishing His BF Goodrich Tires.mp3,E minor,9A,140
5 Gum – Kiss.mp3,A major,11B,130
5 Gum – Skinny Dip.mp3,A minor,8A,131
5 Gum – Tattoo.mp3,A minor,8A,132
3 Ways You Should Be Eating Flamin Hot Cheetos.mp3,G major,9B,113
5 Unconventional Beauties Taking the Modeling World by Storm W Magazine.mp3,A# major,6B,129
10 Cloverfield Lane - Walking Dead Ad (2016) - Paramount Pictures.mp3,A minor,8A,111
9 Fast Food Facts You Wont Believe Are Actually True.mp3,F# major,2B,70
7UP Nimbooz Masala Soda Anushka Sharma TVC 2015.mp3,C# major,3B,129
10 Cloverfield Lane Super Bowl Ad (2016) - Paramount Pictures.mp3,A# major,6B,152
