Video,Shot_Boundary,Video,Duration,Video,Entropy,Video,Average_Intensities_60,Video,Optical_Flow,Video,Funny,Video,Average_Memorability,Video,Language,Video,Topics,Video,Average_Intensities,Video,Average_Intensities_30,Video,Average_Hue,Video,Exciting,Video,Median_Hue,Video,Effectiveness,Video,Sentiments
eW_0aYguJ_E,50.0,KONL05sae4E,30,eW_0aYguJ_E,0.8337649072106651,KONL05sae4E,0.1285715570896877,eW_0aYguJ_E,1654304.0049558822,KONL05sae4E,0.0,KONL05sae4E,0.7231857657432557,KONL05sae4E,1.0,KONL05sae4E,27,KONL05sae4E,0.09420038413058276,KONL05sae4E,0.13813454865750827,KONL05sae4E,"[0.0, 0.0, 0.0]",KONL05sae4E,1.0,KONL05sae4E,"[0.0, 0.0, 0.0]",KONL05sae4E,2,KONL05sae4E,21
RAxElNM-Dmg,32.0,VZ9lXgcYL50,33,RAxElNM-Dmg,0.8939563962625152,VZ9lXgcYL50,0.3926868969298185,RAxElNM-Dmg,857099.0493203885,VZ9lXgcYL50,0.2,VZ9lXgcYL50,0.7239890992641449,VZ9lXgcYL50,1.0,VZ9lXgcYL50,12,VZ9lXgcYL50,0.4099412415915188,VZ9lXgcYL50,0.35011701968615505,VZ9lXgcYL50,"[0.6006459865196077, 0.601272212009804, 0.6022099673202614]",VZ9lXgcYL50,0.6,VZ9lXgcYL50,"[0.6350245098039216, 0.6362009803921568, 0.6373774509803921]",VZ9lXgcYL50,5,VZ9lXgcYL50,1
M5A2a56ALMc,13.0,Pzl86IjTpHI,52,M5A2a56ALMc,0.9871377743721864,Pzl86IjTpHI,0.27776606625880995,xhVCOdS9mXo,191327.05697806453,Pzl86IjTpHI,1.0,Pzl86IjTpHI,0.7251514219320737,XutXCTwwmYc,1.0,6ThU8dS1ItQ,25,Pzl86IjTpHI,0.2843416417463759,Pzl86IjTpHI,0.2917341232022073,Pzl86IjTpHI,"[0.32658317621920574, 0.3161328242835597, 0.306949534942182]",Pzl86IjTpHI,0.6,Pzl86IjTpHI,"[0.20380090497737557, 0.20295625942684767, 0.19844645550527903]",Pzl86IjTpHI,5,XutXCTwwmYc,5
Ug75diEyiA0,3.0,XutXCTwwmYc,15,Ug75diEyiA0,0.4689955935892812,XutXCTwwmYc,0.3862323512004425,M5A2a56ALMc,1340195.2221666672,XutXCTwwmYc,0.0,XutXCTwwmYc,0.7244009508026971,h6CcxJQq1x8,1.0,Pzl86IjTpHI,26,XutXCTwwmYc,0.3490119168318808,XutXCTwwmYc,0.401646974802644,XutXCTwwmYc,"[0.4067712418300653, 0.4054648692810458, 0.4045425744371823]",XutXCTwwmYc,1.0,XutXCTwwmYc,"[0.37821350762527234, 0.3764705882352941, 0.37307189542483665]",XutXCTwwmYc,2,h6CcxJQq1x8,6
rZNiP2ufp_Q,68.0,h6CcxJQq1x8,56,rZNiP2ufp_Q,0.9871377743721864,h6CcxJQq1x8,0.4897450380220409,Ug75diEyiA0,686450.4397666667,h6CcxJQq1x8,1.0,h6CcxJQq1x8,0.7253583605800357,w22oOw3RIAk,1.0,XutXCTwwmYc,21,h6CcxJQq1x8,0.4764425160295194,h6CcxJQq1x8,0.4545974166545738,h6CcxJQq1x8,"[0.4714273167600377, 0.4715359477124184, 0.47023771591970126]",h6CcxJQq1x8,0.6,h6CcxJQq1x8,"[0.49848739495798317, 0.4976050420168067, 0.4962885154061625]",h6CcxJQq1x8,5,w22oOw3RIAk,5
5hteeecX1oQ,26.0,w22oOw3RIAk,15,5hteeecX1oQ,0.9268190639645772,w22oOw3RIAk,0.3135762192758029,rZNiP2ufp_Q,1283359.503075,w22oOw3RIAk,0.0,w22oOw3RIAk,0.7252103984355927,1KkVdbUr250,1.0,h6CcxJQq1x8,8,w22oOw3RIAk,0.36954356591217696,w22oOw3RIAk,0.2610341463332376,w22oOw3RIAk,"[0.4918339233841685, 0.4866696169208426, 0.4805473856209149]",w22oOw3RIAk,0.2,w22oOw3RIAk,"[0.3708061002178649, 0.36056644880174293, 0.3468409586056645]",w22oOw3RIAk,2,XkgGZobFUq0,5
ApqQW5Nx1qI,62.0,XkgGZobFUq0,107,ApqQW5Nx1qI,0.937734293986804,XkgGZobFUq0,0.4888684500973881,0gYBy1rECII,16767.874945333333,XkgGZobFUq0,0.0,XkgGZobFUq0,0.7253800309621371,D-Q5mUes_8k,1.0,w22oOw3RIAk,19,XkgGZobFUq0,0.512757212845144,XkgGZobFUq0,0.4928370857772969,XkgGZobFUq0,"[0.6621809736264294, 0.6623434149050249, 0.6577295719720179]",XkgGZobFUq0,0.2,XkgGZobFUq0,"[0.6868566176470589, 0.6870174632352941, 0.683233762254902]",XkgGZobFUq0,2,1KkVdbUr250,21
HAIWK9IXpHg,23.0,1KkVdbUr250,15,HAIWK9IXpHg,0.9514122535330208,1KkVdbUr250,0.4599125179258578,4okCm_f1YMs,1326348.4878666666,1KkVdbUr250,0.0,1KkVdbUr250,0.7250565588474274,hFYCjZvv8y4,1.0,XkgGZobFUq0,28,1KkVdbUr250,0.4584645521112072,1KkVdbUr250,0.4823632987282133,1KkVdbUr250,"[0.4824621603027176, 0.48062671998624007, 0.4771446078431373]",1KkVdbUr250,0.4,1KkVdbUr250,"[0.5257997936016512, 0.5234262125902993, 0.5121775025799794]",1KkVdbUr250,5,D-Q5mUes_8k,9
F_M7zOew2Pc,26.0,D-Q5mUes_8k,30,F_M7zOew2Pc,0.9988455359952018,D-Q5mUes_8k,0.931682507348632,5hteeecX1oQ,1214630.904931579,D-Q5mUes_8k,0.0,D-Q5mUes_8k,0.7255286905500624,mcP_f1UEQVo,1.0,1KkVdbUr250,32,D-Q5mUes_8k,0.939566843463788,D-Q5mUes_8k,0.8843312236385148,D-Q5mUes_8k,"[0.9470974945533769, 0.9471634440813362, 0.9471860021786492]",D-Q5mUes_8k,1.0,D-Q5mUes_8k,"[0.9476470588235294, 0.94760348583878, 0.9476688453159042]",D-Q5mUes_8k,2,bqmzpwxDJ9s,8
4h0Qvc6_MfQ,13.0,bqmzpwxDJ9s,31,4h0Qvc6_MfQ,0.9871377743721864,bqmzpwxDJ9s,0.4813545713669402,ApqQW5Nx1qI,1793059.223634375,bqmzpwxDJ9s,0.0,bqmzpwxDJ9s,0.7245116139713087,-nYhixp7bXI,1.0,D-Q5mUes_8k,9,bqmzpwxDJ9s,0.4010043806193091,bqmzpwxDJ9s,0.5161561560802865,bqmzpwxDJ9s,"[0.12095383986928102, 0.12321162794828074, 0.12697388285024158]",bqmzpwxDJ9s,0.6,bqmzpwxDJ9s,"[0.07958226768968457, 0.0819693094629156, 0.08699914748508099]",bqmzpwxDJ9s,3,mcP_f1UEQVo,3
