Videos,Shot_Boundary,Duration,Entropy,Average_Intensities,Average_Intensities_30,Average_Intensities_60,Optical_Flow,Funny,Average_Memorability,Topics,Average_Hue,Exciting,Median_Hue,Sentiments,Entropy,Optical_Flow,Exciting,Funny,Average_Memorability,Language,Topics,Average_Hue,Median_Hue,Sentiments,BPM,A,B,C,D,E,F,G,Major/Minor,Sharp/Flat,Effectiveness,,,
__C7sd_UDU0,19,48,0.968461009,0.358354454,0.417023289,0.474381884,804401.8823,0.4,0.725416034,36,"[0.0, 0.0, 0.0]",0.4,"[0.0, 0.0, 0.0]",11,0.968461009,804401.8823,0.4,0.4,0.725416034,1,36,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",11,93,0,0,0,1,0,0,0,0,0,4,,,
_3sLwG1ZSBA,35,38,0.398459274,0.267377816,0.357319203,0.327956901,1787683.817,1,0.724435094,27,"[0.1846795288912024, 0.18394510237723408, 0.1815994996818787]",1,"[0.15724449071664065, 0.15488460871074092, 0.15039042165538782]",6,0.398459274,1787683.817,1,1,0.724435094,1,27,"[0.1846795288912024, 0.18394510237723408, 0.1815994996818787]","[0.15724449071664065, 0.15488460871074092, 0.15039042165538782]",6,136,1,0,0,0,0,0,0,1,0,2,,,
_6MAkLJ79LE,13,31,0.981152234,0.298359338,0.271681445,0.305467313,1278894.735,0.4,0.7241625,21,"[0.38389865728900274, 0.3847695545609549, 0.3862728669366299]",0,"[0.47523444160272804, 0.47474424552429667, 0.4737212276214834]",30,0.981152234,1278894.735,0,0.4,0.7241625,1,21,"[0.38389865728900274, 0.3847695545609549, 0.3862728669366299]","[0.47523444160272804, 0.47474424552429667, 0.4737212276214834]",30,99,0,0,0,1,0,0,0,0,1,3,,,
_6rj5jisB7g,47,60,0.754034056,0.436911969,0.503741686,0.498872394,1591242.649,0.6,0.725702795,9,"[0.30983806215642984, 0.3188190116002251, 0.31012287365277247]",0.8,"[0.25584988962472405, 0.26673159329957147, 0.26696532917802884]",5,0.754034056,1591242.649,0.8,0.6,0.725702795,1,9,"[0.30983806215642984, 0.3188190116002251, 0.31012287365277247]","[0.25584988962472405, 0.26673159329957147, 0.26696532917802884]",5,137,0,0,0,1,0,0,0,1,1,3,,,
_8enIDEKrzA,11,35,0.898058793,0.412478957,0.387862292,0.387569972,615041.6023,0.8,0.725296059,28,"[0.6312596288515407, 0.6344924428104574, 0.6419084091970122]",0.4,"[0.6420634920634921, 0.6504201680672269, 0.6606442577030812]",6,0.898058793,615041.6023,0.4,0.8,0.725296059,1,28,"[0.6312596288515407, 0.6344924428104574, 0.6419084091970122]","[0.6420634920634921, 0.6504201680672269, 0.6606442577030812]",6,91,0,0,0,1,0,0,0,0,0,3,,,
_8n3VwG1xWA,35,60,0.979868757,0.497361898,0.587736009,0.562963035,974378.8844,0.4,0.724853786,21,"[0.4368310412127812, 0.4367433278867104, 0.4375464551561363]",0.6,"[0.4468082788671024, 0.44638344226579524, 0.4472984749455338]",5,0.979868757,974378.8844,0.6,0.4,0.724853786,1,21,"[0.4368310412127812, 0.4367433278867104, 0.4375464551561363]","[0.4468082788671024, 0.44638344226579524, 0.4472984749455338]",5,120,1,0,0,0,0,0,0,1,0,4,,,
_9rL1pPXblQ,1,24,0.249882293,0.509741939,0.615287498,0.545260366,167463.8908,0,0.726508359,26,"[0.5316139073000091, 0.5235597901132285, 0.5326955606186138]",0.4,"[0.5023198011599006, 0.4987296326981497, 0.50005523336095]",8,0.249882293,167463.8908,0.4,0,0.726508359,1,26,"[0.5316139073000091, 0.5235597901132285, 0.5326955606186138]","[0.5023198011599006, 0.4987296326981497, 0.50005523336095]",8,106,0,0,0,1,0,0,0,0,0,5,,,
_BZsIY6PUPU,32,77,0.979339926,0.442291481,0.265871143,0.347060746,1312882.269,1,0.72565466,3,"[0.5175956193165674, 0.5174406791702185, 0.517103669366297]",1,"[0.5485294117647059, 0.5478687127024723, 0.5464727195225917]",6,0.979339926,1312882.269,1,1,0.72565466,1,3,"[0.5175956193165674, 0.5174406791702185, 0.517103669366297]","[0.5485294117647059, 0.5478687127024723, 0.5464727195225917]",6,85,0,0,0,0,0,1,0,0,0,5,,Effectiveness Counts,
_E3VBQa-nAU,19,40,0.998195879,0.511389185,0.481020525,0.528206905,1037974.795,0.4,0.725727582,10,"[0.4382257352941177, 0.4366404820261439, 0.434841748366013]",0.4,"[0.43986274509803924, 0.4361960784313726, 0.43519607843137254]",6,0.998195879,1037974.795,0.4,0.4,0.725727582,1,10,"[0.4382257352941177, 0.4366404820261439, 0.434841748366013]","[0.43986274509803924, 0.4361960784313726, 0.43519607843137254]",6,90,0,0,0,0,0,1,0,0,1,3,,1,115
_F0XLsyU1rY,42,95,0.99030702,0.242969412,0.362660885,0.285922089,1266398.537,0.6,0.725340839,27,"[0.18386025844107656, 0.18217047335673708, 0.18085509604132766]",0.8,"[0.18076033907012587, 0.18038359448582927, 0.18013528555527017]",10,0.99030702,1266398.537,0.8,0.6,0.725340839,1,27,"[0.18386025844107656, 0.18217047335673708, 0.18085509604132766]","[0.18076033907012587, 0.18038359448582927, 0.18013528555527017]",10,135,0,0,0,0,0,1,0,1,0,2,,2,118
_G-PTQ2OWe4,26,30,0.566509507,0.378093149,0.498717823,0.422272639,1430549.666,0.8,0.72539801,21,"[0.2760610141492495, 0.27368742368742366, 0.2694903666594844]",0.4,"[0.25975005386770095, 0.2581771170006464, 0.2535875888817065]",6,0.566509507,1430549.666,0.4,0.8,0.72539801,1,21,"[0.2760610141492495, 0.27368742368742366, 0.2694903666594844]","[0.25975005386770095, 0.2581771170006464, 0.2535875888817065]",6,75,1,0,0,0,0,0,0,0,0,1,,3,529
_GBSwxyPuaE,35,98,0.940285959,0.375181333,0.393955546,0.357941285,1322341.809,0.4,0.724667139,33,"[0.5574836082031682, 0.5641515730586021, 0.5614494710313505]",0.6,"[0.5910933865071452, 0.5982386174808907, 0.596061814556331]",3,0.940285959,1322341.809,0.6,0.4,0.724667139,1,33,"[0.5574836082031682, 0.5641515730586021, 0.5614494710313505]","[0.5910933865071452, 0.5982386174808907, 0.596061814556331]",3,172,0,0,0,0,0,1,0,0,0,5,,4,187
_gXnfGIc1Tk,26,60,0.987137774,0.297908949,0.538832679,0.477295302,862756.3797,0.6,0.726316541,25,"[0.0028967864923747275, 0.0028985566448801762, 0.0028981708424110396]",0.2,"[0.0027124183006535948, 0.0027124183006535948, 0.0027124183006535948]",6,0.987137774,862756.3797,0.2,0.6,0.726316541,1,25,"[0.0028967864923747275, 0.0028985566448801762, 0.0028981708424110396]","[0.0027124183006535948, 0.0027124183006535948, 0.0027124183006535948]",6,118,0,0,0,1,0,0,0,1,0,5,,5,886
_HckRLrBXQM,40,116,0.929363626,0.346077088,0.468306622,0.46295561,931405.7648,0.6,0.725817476,4,"[0.0, 0.0, 0.0]",0.6,"[0.0, 0.0, 0.0]",12,0.929363626,931405.7648,0.6,0.6,0.725817476,0,4,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",12,150,0,0,0,0,1,0,0,1,0,2,,,
