Video,Shot_Boundary,Video,Duration,Video,Shot_Boundary,Video.1,Duration,Video.2,Entropy,Video.3,Average_Intensities_60,Video.4,Optical_Flow,Video.5,Funny,Video.6,Average_Memorability,Video.7,Language,Video.8,Topics,Video.9,Average_Intensities,Video.10,Average_Intensities_30,Video.11,Average_Hue,Video.12,Exciting,Video.13,Median_Hue,Video.14,Effectiveness,Video.15,Sentiments,Video,Entropy,Video,Average_Intensities_60,Video,Optical_Flow,Video,Funny,Video,Average_Memorability,Video,Language,Video,Topics,Video,Average_Intensities,Video,Average_Intensities_30,Video,Average_Hue,Video,Exciting,Video,Median_Hue,Video,Effectiveness,Video,Sentiments,NAME ,KEY,BPM,A,B,C,D,E,F,G,Major/Minor,Sharp/Flat
__C7sd_UDU0,19,__C7sd_UDU0,48,__C7sd_UDU0,19,__C7sd_UDU0,48,__C7sd_UDU0,0.968461009,__C7sd_UDU0,0.474381884,__C7sd_UDU0,804401.8823,__C7sd_UDU0,0.4,__C7sd_UDU0,0.725416034,__C7sd_UDU0,1,__C7sd_UDU0,36,__C7sd_UDU0,0.358354454,__C7sd_UDU0,0.417023289,__C7sd_UDU0,"[0.0, 0.0, 0.0]",__C7sd_UDU0,0.4,__C7sd_UDU0,"[0.0, 0.0, 0.0]",__C7sd_UDU0,4,__C7sd_UDU0,11,__C7sd_UDU0,0.968461009,__C7sd_UDU0,0.474381884,__C7sd_UDU0,804401.8823,__C7sd_UDU0,0.4,__C7sd_UDU0,0.725416034,__C7sd_UDU0,1,__C7sd_UDU0,36,__C7sd_UDU0,0.358354454,__C7sd_UDU0,0.417023289,__C7sd_UDU0,"[0.0, 0.0, 0.0]",__C7sd_UDU0,0.4,__C7sd_UDU0,"[0.0, 0.0, 0.0]",__C7sd_UDU0,4,__C7sd_UDU0,11,__C7sd_UDU0,D minor,93,0,0,0,1,0,0,0,0,0
__CTejhHZSU,80,__CTejhHZSU,120,__CTejhHZSU,80,__CTejhHZSU,120,__CTejhHZSU,0.918295834,__CTejhHZSU,0.308027917,__CTejhHZSU,775192.6865,__CTejhHZSU,0.6,__CTejhHZSU,0.724033675,__CTejhHZSU,1,__CTejhHZSU,10,__CTejhHZSU,0.214712602,__CTejhHZSU,0.323335008,__CTejhHZSU,"[0.00024509803921568627, 0.00024509803921568627, 0.00024509803921568627]",__CTejhHZSU,1,__CTejhHZSU,"[0.00024509803921568627, 0.00024509803921568627, 0.00024509803921568627]",__CTejhHZSU,4,__CTejhHZSU,5,__CTejhHZSU,0.918295834,__CTejhHZSU,0.308027917,__CTejhHZSU,775192.6865,__CTejhHZSU,0.6,__CTejhHZSU,0.724033675,__CTejhHZSU,1,__CTejhHZSU,10,__CTejhHZSU,0.214712602,__CTejhHZSU,0.323335008,__CTejhHZSU,"[0.00024509803921568627, 0.00024509803921568627, 0.00024509803921568627]",__CTejhHZSU,1,__CTejhHZSU,"[0.00024509803921568627, 0.00024509803921568627, 0.00024509803921568627]",__CTejhHZSU,4,__CTejhHZSU,5,_3sLwG1ZSBA,A major,136,1,0,0,0,0,0,0,1,0
_3sLwG1ZSBA,35,__kJ7HsL10Y,45,_3sLwG1ZSBA,35,__kJ7HsL10Y,45,_3sLwG1ZSBA,0.398459274,__kJ7HsL10Y,0.642052978,__kJ7HsL10Y,416351.1708,__kJ7HsL10Y,0,__kJ7HsL10Y,0.725517046,__uCQMKry3w,1,__kJ7HsL10Y,22,__kJ7HsL10Y,0.58366779,__kJ7HsL10Y,0.600337383,__kJ7HsL10Y,"[0.36556723553619, 0.3664849915274757, 0.3669399055918662]",__kJ7HsL10Y,0.2,__kJ7HsL10Y,"[0.36129266521423387, 0.36254175744371825, 0.3633696441539579]",__kJ7HsL10Y,3,__kJ7HsL10Y,9,_3sLwG1ZSBA,0.398459274,__kJ7HsL10Y,0.642052978,__kJ7HsL10Y,416351.1708,__kJ7HsL10Y,0,__kJ7HsL10Y,0.725517046,__uCQMKry3w,1,__kJ7HsL10Y,22,__kJ7HsL10Y,0.58366779,__kJ7HsL10Y,0.600337383,__kJ7HsL10Y,"[0.36556723553619, 0.3664849915274757, 0.3669399055918662]",__kJ7HsL10Y,0.2,__kJ7HsL10Y,"[0.36129266521423387, 0.36254175744371825, 0.3633696441539579]",__kJ7HsL10Y,3,__kJ7HsL10Y,9,_6MAkLJ79LE,D# minor,99,0,0,0,1,0,0,0,0,1
_6MAkLJ79LE,13,__uCQMKry3w,30,_6MAkLJ79LE,13,__uCQMKry3w,30,_6MAkLJ79LE,0.981152234,__uCQMKry3w,0.645909408,__uCQMKry3w,225129.7008,__uCQMKry3w,0,__uCQMKry3w,0.72492368,_3sLwG1ZSBA,1,__uCQMKry3w,37,__uCQMKry3w,0.564452512,__uCQMKry3w,0.769085489,__uCQMKry3w,"[0.6301734295570082, 0.6326778776325347, 0.6366370279593319]",__uCQMKry3w,0.2,__uCQMKry3w,"[0.6301307189542483, 0.636884531590414, 0.6467538126361656]",__uCQMKry3w,2,__uCQMKry3w,3,_6MAkLJ79LE,0.981152234,__uCQMKry3w,0.645909408,__uCQMKry3w,225129.7008,__uCQMKry3w,0,__uCQMKry3w,0.72492368,_3sLwG1ZSBA,1,__uCQMKry3w,37,__uCQMKry3w,0.564452512,__uCQMKry3w,0.769085489,__uCQMKry3w,"[0.6301734295570082, 0.6326778776325347, 0.6366370279593319]",__uCQMKry3w,0.2,__uCQMKry3w,"[0.6301307189542483, 0.636884531590414, 0.6467538126361656]",__uCQMKry3w,2,__uCQMKry3w,3,_6rj5jisB7g,D# major,137,0,0,0,1,0,0,0,1,1
_6n2tvHQHag,16,_3sLwG1ZSBA,38,_6n2tvHQHag,16,_3sLwG1ZSBA,38,_6n2tvHQHag,0.996791632,_3sLwG1ZSBA,0.327956901,_3sLwG1ZSBA,1787683.817,_3sLwG1ZSBA,1,_3sLwG1ZSBA,0.724435094,_3tlUqHla3Y,1,_3sLwG1ZSBA,27,_3sLwG1ZSBA,0.267377816,_3sLwG1ZSBA,0.357319203,_3sLwG1ZSBA,"[0.1846795288912024, 0.18394510237723408, 0.1815994996818787]",_3sLwG1ZSBA,1,_3sLwG1ZSBA,"[0.15724449071664065, 0.15488460871074092, 0.15039042165538782]",_3sLwG1ZSBA,2,_3sLwG1ZSBA,6,_6n2tvHQHag,0.996791632,_3sLwG1ZSBA,0.327956901,_3sLwG1ZSBA,1787683.817,_3sLwG1ZSBA,1,_3sLwG1ZSBA,0.724435094,_3tlUqHla3Y,1,_3sLwG1ZSBA,27,_3sLwG1ZSBA,0.267377816,_3sLwG1ZSBA,0.357319203,_3sLwG1ZSBA,"[0.1846795288912024, 0.18394510237723408, 0.1815994996818787]",_3sLwG1ZSBA,1,_3sLwG1ZSBA,"[0.15724449071664065, 0.15488460871074092, 0.15039042165538782]",_3sLwG1ZSBA,2,_3sLwG1ZSBA,6,_8enIDEKrzA,D minor,91,0,0,0,1,0,0,0,0,0
_6rj5jisB7g,47,_3tlUqHla3Y,15,_6rj5jisB7g,47,_3tlUqHla3Y,15,_6rj5jisB7g,0.754034056,_3tlUqHla3Y,0.317553125,_3tlUqHla3Y,1406014.184,_3tlUqHla3Y,0,_3tlUqHla3Y,0.725507833,_6MAkLJ79LE,1,_3tlUqHla3Y,17,_3tlUqHla3Y,0.366196691,_3tlUqHla3Y,0.361249466,_3tlUqHla3Y,"[0.3388486065722585, 0.3415856481481481, 0.3426059822076979]",_3tlUqHla3Y,0.4,_3tlUqHla3Y,"[0.32598039215686275, 0.3306100217864924, 0.3354575163398693]",_3tlUqHla3Y,2,_3tlUqHla3Y,5,_6rj5jisB7g,0.754034056,_3tlUqHla3Y,0.317553125,_3tlUqHla3Y,1406014.184,_3tlUqHla3Y,0,_3tlUqHla3Y,0.725507833,_6MAkLJ79LE,1,_3tlUqHla3Y,17,_3tlUqHla3Y,0.366196691,_3tlUqHla3Y,0.361249466,_3tlUqHla3Y,"[0.3388486065722585, 0.3415856481481481, 0.3426059822076979]",_3tlUqHla3Y,0.4,_3tlUqHla3Y,"[0.32598039215686275, 0.3306100217864924, 0.3354575163398693]",_3tlUqHla3Y,2,_3tlUqHla3Y,5,_8n3VwG1xWA,A major,120,1,0,0,0,0,0,0,1,0
_8enIDEKrzA,11,_6MAkLJ79LE,31,_8enIDEKrzA,11,_6MAkLJ79LE,31,_8enIDEKrzA,0.898058793,_6MAkLJ79LE,0.305467313,_6MAkLJ79LE,1278894.735,_6MAkLJ79LE,0.4,_6MAkLJ79LE,0.7241625,_6n2tvHQHag,1,_6MAkLJ79LE,21,_6MAkLJ79LE,0.298359338,_6MAkLJ79LE,0.271681445,_6MAkLJ79LE,"[0.38389865728900274, 0.3847695545609549, 0.3862728669366299]",_6MAkLJ79LE,0,_6MAkLJ79LE,"[0.47523444160272804, 0.47474424552429667, 0.4737212276214834]",_6MAkLJ79LE,3,_6MAkLJ79LE,30,_8enIDEKrzA,0.898058793,_6MAkLJ79LE,0.305467313,_6MAkLJ79LE,1278894.735,_6MAkLJ79LE,0.4,_6MAkLJ79LE,0.7241625,_6n2tvHQHag,1,_6MAkLJ79LE,21,_6MAkLJ79LE,0.298359338,_6MAkLJ79LE,0.271681445,_6MAkLJ79LE,"[0.38389865728900274, 0.3847695545609549, 0.3862728669366299]",_6MAkLJ79LE,0,_6MAkLJ79LE,"[0.47523444160272804, 0.47474424552429667, 0.4737212276214834]",_6MAkLJ79LE,3,_6MAkLJ79LE,30,_9rL1pPXblQ,D minor,106,0,0,0,1,0,0,0,0,0
_8n3VwG1xWA,35,_6n2tvHQHag,30,_8n3VwG1xWA,35,_6n2tvHQHag,30,_8n3VwG1xWA,0.979868757,_6n2tvHQHag,0.516908596,_6n2tvHQHag,860988.2639,_6n2tvHQHag,1,_6n2tvHQHag,0.725939337,_6rj5jisB7g,1,_6n2tvHQHag,8,_6n2tvHQHag,0.491416823,_6n2tvHQHag,0.524975842,_6n2tvHQHag,"[0.5265305010893246, 0.5224960852396515, 0.5187096609477123]",_6n2tvHQHag,0.6,_6n2tvHQHag,"[0.5416938997821351, 0.5331154684095861, 0.5254357298474945]",_6n2tvHQHag,3,_6n2tvHQHag,15,_8n3VwG1xWA,0.979868757,_6n2tvHQHag,0.516908596,_6n2tvHQHag,860988.2639,_6n2tvHQHag,1,_6n2tvHQHag,0.725939337,_6rj5jisB7g,1,_6n2tvHQHag,8,_6n2tvHQHag,0.491416823,_6n2tvHQHag,0.524975842,_6n2tvHQHag,"[0.5265305010893246, 0.5224960852396515, 0.5187096609477123]",_6n2tvHQHag,0.6,_6n2tvHQHag,"[0.5416938997821351, 0.5331154684095861, 0.5254357298474945]",_6n2tvHQHag,3,_6n2tvHQHag,15,_BZsIY6PUPU,F minor,85,0,0,0,0,0,1,0,0,0
_9rL1pPXblQ,1,_6rj5jisB7g,60,_9rL1pPXblQ,1,_6rj5jisB7g,60,_9rL1pPXblQ,0.249882293,_6rj5jisB7g,0.498872394,_6rj5jisB7g,1591242.649,_6rj5jisB7g,0.6,_6rj5jisB7g,0.725702795,_8enIDEKrzA,1,_6rj5jisB7g,9,_6rj5jisB7g,0.436911969,_6rj5jisB7g,0.503741686,_6rj5jisB7g,"[0.30983806215642984, 0.3188190116002251, 0.31012287365277247]",_6rj5jisB7g,0.8,_6rj5jisB7g,"[0.25584988962472405, 0.26673159329957147, 0.26696532917802884]",_6rj5jisB7g,3,_6rj5jisB7g,5,_9rL1pPXblQ,0.249882293,_6rj5jisB7g,0.498872394,_6rj5jisB7g,1591242.649,_6rj5jisB7g,0.6,_6rj5jisB7g,0.725702795,_8enIDEKrzA,1,_6rj5jisB7g,9,_6rj5jisB7g,0.436911969,_6rj5jisB7g,0.503741686,_6rj5jisB7g,"[0.30983806215642984, 0.3188190116002251, 0.31012287365277247]",_6rj5jisB7g,0.8,_6rj5jisB7g,"[0.25584988962472405, 0.26673159329957147, 0.26696532917802884]",_6rj5jisB7g,3,_6rj5jisB7g,5,_E3VBQa-nAU,F# minor,90,0,0,0,0,0,1,0,0,1
_BZsIY6PUPU,32,_8enIDEKrzA,35,_BZsIY6PUPU,32,_8enIDEKrzA,35,_BZsIY6PUPU,0.979339926,_8enIDEKrzA,0.387569972,_8enIDEKrzA,615041.6023,_8enIDEKrzA,0.8,_8enIDEKrzA,0.725296059,_8n3VwG1xWA,1,_8enIDEKrzA,28,_8enIDEKrzA,0.412478957,_8enIDEKrzA,0.387862292,_8enIDEKrzA,"[0.6312596288515407, 0.6344924428104574, 0.6419084091970122]",_8enIDEKrzA,0.4,_8enIDEKrzA,"[0.6420634920634921, 0.6504201680672269, 0.6606442577030812]",_8enIDEKrzA,3,_8enIDEKrzA,6,_BZsIY6PUPU,0.979339926,_8enIDEKrzA,0.387569972,_8enIDEKrzA,615041.6023,_8enIDEKrzA,0.8,_8enIDEKrzA,0.725296059,_8n3VwG1xWA,1,_8enIDEKrzA,28,_8enIDEKrzA,0.412478957,_8enIDEKrzA,0.387862292,_8enIDEKrzA,"[0.6312596288515407, 0.6344924428104574, 0.6419084091970122]",_8enIDEKrzA,0.4,_8enIDEKrzA,"[0.6420634920634921, 0.6504201680672269, 0.6606442577030812]",_8enIDEKrzA,3,_8enIDEKrzA,6,_F0XLsyU1rY,F major,135,0,0,0,0,0,1,0,1,0
